company_name,job_description,job_link,job_location,job_posted,job_salary,job_title,posted_website
SoundHound Inc.,You would join a team working on cutting edge Voice AI Research. You would work on delivering Machine Learning / Natural Language Processing models with State…,https://www.workopolis.com/jobsearch/viewjob/20Z8s0VZxHsAIUnoayMRWT_nj78rDU6ntyHvZnB90WQLedLq5Zjf9w?ak=machine+learning&l=Toronto,"Toronto, ON",9 days ago,"Estimated: $80,000 - $110,000 a year","Senior Machine Learning Scientist, Natural Language Processing",www.workopolis.com
Coursera,"Coursera is a leading online learning platform for higher education, where 71 million learners from around the world come to learn skills of the future. More…",https://www.workopolis.com/jobsearch/viewjob/4ooHfAqzvAJxUrcnSBallu5r8Q71BwfSyUEp6xbqR-0pAVJFRHhueQ?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $84,000 - $110,000 a year","Senior Data Scientist, Machine Learning",www.workopolis.com
Google,Participation in the internship program requires that you are located in Canada for the duration of the internship program This internship is intended for…,https://www.workopolis.com/jobsearch/viewjob/59vI02P3N8O4VtGHMKgo47W7pVcP_CR5REarcGOEp_nUeENaSnbAEg?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $75,000 - $96,000 a year","Research Intern, Bachelors, Summer 2021",www.workopolis.com
Geotab,Who we are: Geotab is a global leader in IoT and connected transportation and certified “Great Place to Work.” We are a company of diverse and talented…,https://www.workopolis.com/jobsearch/viewjob/uw99TLCUfRsSt8mpWHOJ9Q7e_9qwerPDjaDIb-KmkcV5D3Unvoxcaw?ak=machine+learning&l=Toronto,"Oakville, ON",9 days ago,"Estimated: $56,000 - $78,000 a year",Learning Content Writer,www.workopolis.com
Centre for Addiction and Mental Health,"Job Number: 852940 Category: Research Positions Available: 1 Years Experience Required: 2 Location: Toronto, Ontario Posted Date: Nov 19, 2020…",https://www.workopolis.com/jobsearch/viewjob/hNeRXNFCh8EJNwJEaD3q9c38WwrnBLWxMgiQNlwqNQHUuGfRCKYURw?ak=machine+learning&l=Toronto,"Toronto, ON",8 days ago,"Estimated: $73,000 - $99,000 a year",Independent Scientist,www.workopolis.com
SoundHound Inc.,Join one of our core speech technology teams for a 10 week (minimum) paid internship. Participation requires that you are located in Canada for the duration…,https://www.workopolis.com/jobsearch/viewjob/BDJGwtDYrhr76zQxQ_nqnjBKKkwZVE4QgSJgQSPywqiASdWqugEVNA?ak=machine+learning&l=Toronto,"Toronto, ON",9 days ago,"Estimated: $73,000 - $94,000 a year","Machine Learning Intern, Speech Recognition, M.S. / Ph.D., Winter 2020-2021",www.workopolis.com
Pinterest,"About Pinterest: Millions of people across the world come to Pinterest to find new ideas every day. It’s where they get inspiration, dream about new…",https://www.workopolis.com/jobsearch/viewjob/uiJ9x4elmXlbW5uG6YXJQIJ0en1vcFdp0SRfVhxouGn-LHgfLGaTMg?ak=machine+learning&l=Toronto,"Toronto, ON",14 days ago,"Estimated: $71,000 - $91,000 a year","Senior Machine Learning Engineer, Content Signals",www.workopolis.com
University of Toronto,Date Posted: 11/12/2020 Req ID: 1894 Faculty/Division: Faculty of Applied Science & Engineering Department: APSC: Ofc of the Dean - Faculty General Campus: St…,https://www.workopolis.com/jobsearch/viewjob/NW49vC8cAzm9GRFa3ht_4syVQXzMf6qokwneZFF9q0SQQqk1_RhIsQ?ak=machine+learning&l=Toronto,"Toronto, ON",,"$8,500 a month",[Sessional Lecturer] Introduction to Machine Learning - ECE1513H,www.workopolis.com
Achievers,"Achievers delivers an Employee Success Platform™ that enables social recognition, which dramatically increases employee engagement and drives business success…",https://www.workopolis.com/jobsearch/viewjob/AxzuFD0EM4_VRZQdcU1aMzQLVfN-TB4Jlf2RufZ-5AHy5FAJSPq2kQ?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $90,000 - $120,000 a year",Data Scientist,www.workopolis.com
SNC-Lavalin,"Duties: A software design/engineering professional is required to work on the design, development, verification, documentation, and testing of computer…",https://www.workopolis.com/jobsearch/viewjob/o3T76tgf5BxI8fu3hi9LclvC8wSEzAiX1HqOhAa9Wo_sUW5e3YXt6A?ak=machine+learning&l=Toronto,"Mississauga, ON",,"Estimated: $86,000 - $120,000 a year",Machine Learning Software Designer/Engineer,www.workopolis.com
Autodesk,"Job Requisition ID # 20WD44125 Machine Learning Research Engineer Position Overview As a ML Research Engineer at Autodesk, you will be working side-by…",https://www.workopolis.com/jobsearch/viewjob/lLYEF36T2GssGC8-eex0T6RTUJEiDXhS7Io8D1XpZVaU3MoLUaHj5Q?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $74,000 - $96,000 a year",Senior Machine Learning Research Engineer,www.workopolis.com
SoundHound Inc.,"At SoundHound Inc., we believe every brand should have a voice. As the leading innovator of conversational technologies, we're trusted by top brands around…",https://www.workopolis.com/jobsearch/viewjob/ks7vF0_4Dm0_aMLAe8sOELoq1INw6EvdboMUrW-QHuomMJznyIk0Mw?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $100,000 - $130,000 a year",Senior Machine Learning Research Engineer,www.workopolis.com
