job_title,company_name,job_location,job_salary,job_description,job_posted,posted_website,job_link
Data Scientist,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $100,000 a year","Minimum of 3 - 5 years of   experience using python.,Experience with time-series and operations  is an asset.,Available in office full-time (KW).",8 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=548107d5f4b0a123&fccid=60243b7c439e1cdd&vjs=3
"Director, Data Science",Loblaw Companies Limited,"Brampton, ON",,Collaborate with other   teams across  Insights and Analytics to form an ecosystem of   products that complement each other.,9 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=f25a401fe9e4b3f4&fccid=bc30630cfcc120d4&vjs=3
Health Data Analyst – ACW,Sioux Lookout First Nations Health Authority,"Sioux Lookout, ON","$78,256 a year","Experience with common   and  visualization tools.,Collect and analyze data—through extracting secondary , observations, interviews, and…",10 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=1b7f0d64d0354ef2&fccid=545a4a9f500fa727&vjs=3
"Manager, Data Analytics (Volunteer)",Pet Cancer Fund,"Edmonton, AB",,"Experience with coding complex SQL logic,  mining (SQL, ETL,  warehouse) and using databases in business.,Know how to use Statistical Packages.",10 days ago,Indeed.ca,https://ca.indeed.com/company/Pet-Cancer-Fund/jobs/Manager-98339b5b951befa5?fccid=9cb0f05fa23b2623&vjs=3
Data Scientist,Genworth Canada,"Oakville, ON",,"Experience with  visualization tool, particularly Tableau.,Thorough technical validation of code and documentation of ETL and  pipelines, predictive…",2 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=014f8b67ae6f7898&fccid=bf4f333dc99b55e9&vjs=3
Data Scientist,Stradigi AI,"Montréal, QC",,"Develop custom  models and algorithms to apply to  sets.,Assess the effectiveness and accuracy of new  sources and  gathering techniques.",2 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=91200588a8169604&fccid=44d22360b9426d3e&vjs=3
"Analytics, Data Scientist, Associate",PwC,"Toronto, ON",,"The core   action this role drives include:,Proficiency in  analytic and visualization platforms such as Tableau, Alteryx, Microsoft Power BI.",1 day ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=11395718c7b9f23c&fccid=5e964c4afc56b180&vjs=3
"Research Scientist, Robotics Machine Learning & Artificial Intelligence",Vineland Research and Innovation Centre,"Vineland Station, ON","$75,000 a year","PhD (preferred), in computer  or engineering.,Build collaborative relationships in the  and technology community that strengthen Vineland’s R&D…",3 days ago,Indeed.ca,https://ca.indeed.com/company/Vineland-Research-and-Innovation-Centre/jobs/Research-Scientist-272ddc4d437c4669?fccid=0269712fbd44fe5d&vjs=3
Remote PT Data Science Mentor,Lighthouse Labs,"Vancouver, BC",$30 - $50 an hour,"Minimum 2 years of professional experience in software development (focus in web development) or  science.,More examples include but are not limited to;",26 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=c77b5c313a0335f4&fccid=6f3cdaca3f302315&vjs=3
Junior Data Scientist,Profitable Software Inc.,"Vancouver, BC",,"Assist in building  mining framework.,Analyze machine learning performance metrics to drive optimization and improvement of development.",6 days ago,Indeed.ca,https://ca.indeed.com/company/Profitable-Software-Inc./jobs/Junior-Data-Scientist-74b50cb35d92642e?fccid=186fe95f7a7405ec&vjs=3
Data Scientist,EXFO,"Montréal, QC",,"Experience in applying   methods to business problems.,Academic: Graduate studies in machine learning, computer , statistics, mathematics,…",11 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=c5ea013ea16975bd&fccid=aed940ca07a7584d&vjs=3
Statistician,Lady Davis Institute,"Montréal, QC",$30 - $40 an hour,"Design, develop and implement statistical study procedures, ensuring  quality and confidentiality.,Interpretation of the results;",7 days ago,Indeed.ca,https://ca.indeed.com/company/Lady-Davis-Institute/jobs/Statistician-a8753ffb92455331?fccid=1e1a6d42beac434e&vjs=3
Data Scientist,Perennial Inc.,"Bolton, ON","$69,385 - $84,804 a year","Able to understand various  structures and common methods in  transformation.,Review and assessment of , ongoing  analysis as needed, and…",19 days ago,Indeed.ca,https://ca.indeed.com/company/Perennial-Inc/jobs/Data-Scientist-1796de8975273834?fccid=28bde31688f84930&vjs=3
